id,display_name,about_me,age,creation_date,last_access_date,location,reputation,up_votes,down_votes,views,profile_image_url,website_url
919283,Vikas Soni,,,8/30/2011 8:29:23,9/5/2011 4:33:28,,529,0,0,138,,
922726,ATilara,,,9/1/2011 2:16:05,9/23/2022 2:50:04,,471,336,2,31,,
922839,Kyle,,,9/1/2011 4:51:35,9/23/2022 21:11:29,,435,8,0,12,,
923243,Lars,<p>Full-Stack Software Engineer @ Rabobank</p>,,9/1/2011 10:05:35,9/21/2022 12:22:39,"Utrecht, Utrecht, Netherlands",4062,153,2,95,,http://N/A
926279,mjswensen,,,9/3/2011 4:03:55,9/17/2022 21:30:52,"Provo, UT",2969,864,8,92,,https://mjswensen.com
927387,purucat,<p>Emacs geezer one upon a time...</p>,,9/4/2011 9:04:01,9/22/2022 6:06:08,Japan,613,59,1,26,,
928467,Dyonisos,,,9/5/2011 8:02:57,9/22/2022 14:12:56,"Munich, Germany",3511,45,4,247,,
933420,Jerry Robinson,,,9/7/2011 18:54:14,9/7/2011 18:54:14,,651,0,0,13,,
938512,simusid,"<p>hundreds of unrelated projects, nothing in common.  Jack of all languages, master of none.</p>",,9/10/2011 19:26:08,9/18/2022 19:45:24,Swansea MA,1794,22,1,113,,http://www.swanamb.com
943721,schottsfired,,,9/14/2011 2:20:17,9/22/2022 17:41:37,"Brooklyn, NY, USA",131,23,0,29,,
944657,Abdul Rahman,"<p>I am polite person. I like to programming. My hobbies are Watching Cricket, Tennis, Reading Books. If you want to contact me, you can @ ar_tau87@yahoo.com, artau87@gmail.com.</p>",,9/14/2011 12:49:11,1/27/2021 10:40:36,Singapore,2087,1521,11,1787,,http://www.abdularnetwork.blogspot.com
948517,Marek Bar,"<p>Hi folks, I'm a gradute of The University of Information Technology and Management in Rzeszów in the Faculty of Information Technology. Currently I am working as software engineer. And in the near future I plan to earn certifications related to Microsoft technologies.</p>",,9/16/2011 9:34:44,2/16/2019 17:53:36,Poland,863,988,21,345,,https://sites.google.com/site/napiszprogrampl/
949319,daniel,,,9/16/2011 17:24:46,3/11/2019 21:02:18,,279,0,0,17,,
953776,averageUsername123,,,9/20/2011 1:05:55,5/2/2022 18:50:15,,673,38,0,68,,
958503,Raza Hussain,,,9/22/2011 7:12:06,9/25/2022 5:43:31,Pakistan,752,47,0,99,https://i.stack.imgur.com/7UOYd.png,
959362,Régis Ramillien,,,9/22/2011 14:42:13,9/23/2022 13:10:29,,161,122,0,15,,
960045,Joel James,,,9/22/2011 21:39:09,9/23/2022 2:36:15,"Baton Rouge, LA",3670,51,1,116,,
960083,akonny,,,9/22/2011 22:09:43,5/27/2015 14:27:42,"Arhus, Denmark",47,9,0,12,,
961215,Abhishek_Mishra,<p>Lead Software Development Engineer in Test</p>,,9/23/2011 13:09:38,9/15/2022 18:58:52,"Toronto, ON, Canada",4473,239,50,728,https://i.stack.imgur.com/W8HF0.jpg,
962773,Michael Stoner,,,9/24/2011 15:56:49,2/23/2015 8:18:39,,1321,28,0,70,,
963171,c4baf058,,,9/25/2011 0:46:36,12/2/2014 22:04:32,,225,1,0,12,,
963789,werbary,<p>We are making amazing applications</p>,,9/25/2011 16:05:20,6/13/2022 13:59:58,"Moscow, Russia",1110,114,25,242,https://i.stack.imgur.com/80Niz.jpg?s=128&g=1,http://werbary.ru
967112,mbaaz,<p>Working as a web developer in Sweden.</p>,,9/27/2011 13:14:41,9/8/2022 9:37:06,"Malmö, Sweden",130,20,0,107,,
974606,iAndroid,,,10/1/2011 15:41:49,10/20/2011 0:01:03,,25,0,0,16,,
975194,user975194,,,10/2/2011 7:14:55,9/10/2015 5:02:21,,69,0,0,20,,
975917,user975917,,,10/3/2011 0:17:45,9/19/2022 4:22:36,,195,49,0,46,,
977143,Tarcísio Júnior,"<p>Graduated in Computer Science. Master of IA. Interest in developing Java, JavaScript, PHP,. NET, jQuery, etc.. which involves computing thing.</p>",,10/3/2011 17:35:32,3/28/2021 13:29:40,"Uberlândia, Brasil",1229,101,1,88,,http://www.softbox.com.br
978588,Benedict,,,10/4/2011 13:51:44,7/29/2022 13:47:49,"London, United Kingdom",2701,21,2,134,,
985806,mileusna,,,10/8/2011 21:00:06,8/25/2022 12:13:28,Serbia,606,85,3,62,,http://www.naslovi.net
988098,user988098,,,10/10/2011 17:05:54,5/25/2012 9:24:04,,261,3,0,48,,
989373,Aditya Ravi Shankar,"<p>Aditya Ravi Shankar started programming in 1993 when he was first introduced to the world of computers. With no access to the Internet or online tutorials at the time, he wrote his first game in GW-BASIC by painstakingly retyping code from a book he found at the local library.</p>

<p>A self-confessed technology geek, he has spent the time since then working on his own projects and experimenting with every new language and technology that he could. During this time he became well known for single-handedly re-creating the famous Command and Conquer RTS game entirely in HTML5. (<a href=""http://www.adityaravishankar.com/projects/games/command-and-conquer/"" rel=""nofollow noreferrer"">http://www.adityaravishankar.com/projects/games/command-and-conquer/</a>)</p>

<p>He is the author of the book Pro HTML5 Games published by Apress. (<a href=""http://www.adityaravishankar.com/pro-html5-games/"" rel=""nofollow noreferrer"">http://www.adityaravishankar.com/pro-html5-games/</a>)</p>

<p>Apart from programming, Aditya is passionate about billiards, salsa dancing, and learning to develop the subconscious mind. He maintains a personal website (www.adityaravishankar.com) where he writes articles on game programming, personal development, and billiards. </p>

<p>When he is not busy writing or working on his own projects, Aditya does consulting work with companies to help them launch new software products.</p>",,10/11/2011 11:19:16,8/6/2020 4:10:55,"Bangalore, India",371,2,0,64,,http://www.adityaravishankar.com
989441,Srinivas,,,10/11/2011 11:57:35,8/21/2020 8:52:53,,2411,86,0,178,,
993691,Kiran,"<p>I'm a .net programmer with 5 years of experience. in asp.net, c#, javascript, jquery, css, html, facebook graph api</p>",,10/13/2011 14:36:39,8/25/2022 21:54:30,India,111,76,0,16,,
994298,Kassem Shehady,<p>Software Developer at Lyngro</p>,,10/13/2011 20:25:05,9/20/2022 18:10:24,Lebanon,1182,220,0,151,https://i.stack.imgur.com/kY6T7.jpg?s=128&g=1,http://kassemshehady.com
999420,Sonny Ordell,,,10/7/2008 9:51:43,12/6/2018 0:19:19,,324,12,5,527,,
1003143,Jyoti Kumari,<p>Sr. Software Developer</p>,,10/19/2011 12:40:08,5/23/2018 11:11:39,"Noida, Uttar Pradesh, India",47,2,0,34,,
1007482,GeorgeBuckingham,,,10/21/2011 16:06:14,10/8/2018 14:52:17,"London, UK",195,51,0,16,,http://www.georgebuckingham.co.uk
1008197,Richard Stokes,<p>Java Developer and Android developer</p>,,10/22/2011 5:33:53,9/21/2022 4:26:44,Singapore,356,150,5,77,https://i.stack.imgur.com/j5Lfo.jpg,https://flakeynetworks.co.uk
1008797,Niclas Lindgren,,,10/22/2011 18:01:40,4/17/2015 19:16:49,Sweden,91,1,0,21,,http://niclaslindgren.spaces.live.com
1009039,elev8,,,10/22/2011 22:59:01,11/17/2011 3:34:02,,25,0,0,13,,
1011321,Odyssey,,,10/24/2011 16:56:27,3/22/2012 13:12:59,,263,5,0,23,,
1012882,Juan Ignacio Pérez Sacristán,"<p>BY DAY: Blockchain, Data Science and Big Data.</p>

<p>BY NIGHT: Astronomy and astrophotography.</p>

<p>FOR FUN: 払腰, Harai goshi.</p>",,10/25/2011 14:23:59,6/29/2022 16:28:05,"Zaragoza, Spain",615,1075,2,95,https://i.stack.imgur.com/gAJvR.jpg?s=128&g=1,http://es.linkedin.com/in/semanticwebarchitect
1024614,user1024614,,,11/1/2011 22:21:48,1/16/2012 8:13:50,,51,0,0,13,,
1031659,Joe Bloe,,,11/5/2011 23:17:00,9/19/2022 20:10:42,,363,16,0,34,,
1033923,CodeFan,,,11/7/2011 14:38:56,6/20/2013 0:27:52,,89,0,0,19,,
1035765,user10001110101,,,11/8/2011 14:17:22,7/27/2017 14:30:21,,301,19,0,59,,
1036367,George Mastro,<p>Drupal Web Developer @netstudio.gr</p>,,11/8/2011 20:00:10,9/24/2022 9:57:43,"Pireas, Greece",307,64,0,45,,http://www.netstudio.gr
1039551,dstonek,<p>Photographer</p>,,11/10/2011 10:33:51,5/23/2022 11:29:39,Uruguay,933,115,1,156,,
1040031,Bogdan Stoica,"<p><strong>Linux SysAdmin &amp; DevOps</strong> - <a href=""https://madrivo.com"" rel=""nofollow noreferrer"">https://madrivo.com</a>
<br /><strong>Freelancer</strong> - <a href=""https://www.freelancer.com/u/bms8197.html"" rel=""nofollow noreferrer"">https://www.freelancer.com/u/bms8197.html</a>
<br /><strong>Blogger</strong> - <a href=""https://898.ro/blog"" rel=""nofollow noreferrer"">https://898.ro/blog</a>
<br /><strong>Github</strong> User - <a href=""https://github.com/bms8197"" rel=""nofollow noreferrer"">https://github.com/bms8197</a></p>",,11/10/2011 15:10:55,9/24/2022 11:41:10,"Bucharest, Romania",4181,100,11,546,https://i.stack.imgur.com/bDuZ9.jpg,http://https:/898.ro
1040828,Juan Carlos Moreno,,,11/11/2011 0:19:44,9/20/2022 20:05:23,"Culver City, CA",2706,127,7,146,,http://www.jcrogel.com
1043137,aedm,,,11/12/2011 13:08:28,9/23/2022 15:38:54,"Budapest, Hungary",4840,756,3,239,https://i.stack.imgur.com/vcr8B.jpg?s=128&g=1,
1045142,Simon Martinelli,"<p>Simon Martinelli is Vaadin Community Award winner and the owner of 72 Services LLC and a passionate Java, performance optimization and application integration expert with more than 26 years of experience creating efficient programming solutions as a developer, architect, and technical lead.</p>
<p>An active member of the Java community process, he has made key contributions to JSR-352 Batch Applications, JSR-354 Money, and Currency API. In addition to coaching and teaching clients to optimize IT functions within business environments, he has been an Adjunct Professor at Berne University of Applied Science in Switzerland</p>",,11/14/2011 7:34:48,9/24/2022 9:19:00,"Erlach, Schweiz",29770,184,119,4878,https://i.stack.imgur.com/7uszF.jpg?s=128&g=1,https://72.services
1050014,user1050014,,,11/16/2011 15:48:50,1/30/2012 19:34:16,,39,0,0,40,,
1051462,Dmitri Algazin,<p>Top-level Full Stack Java + Angular/React/JS Developer</p>,,11/17/2011 9:51:06,9/23/2022 15:48:05,"London, United Kingdom",3225,117,7,495,https://i.stack.imgur.com/JR86H.jpg?s=128&g=1,
1053352,pigletfly,<p>python programmer</p>,,11/18/2011 7:55:30,9/24/2022 6:06:17,"Beijing, China",1043,201,5,236,,
1054831,Jay Mitchell,<p>Rails developer since 2007. Some experience with developing iOS and Microsoft applications.</p>,,11/19/2011 0:56:36,9/22/2022 2:14:17,"Oakland, CA, United States",1190,416,4,75,,
1055114,daba,"<p>I'm a student in the heart of Auckland city who's interested in engineering.
Currently do a bit of web-mastery/coding/designing. Can be a Apple fan-boy at times. Take the occasional photo too...
Please feel free to chat with me, I'm always willing to meet new people out there!</p>",,11/19/2011 8:55:07,1/15/2022 5:01:03,"Auckland, New Zealand",147,7,0,29,,http://dariobauer.net
1056224,Rohit Agrawal,,,11/20/2011 9:54:47,11/15/2012 10:53:48,,151,6,0,87,,
1056550,andreas.vitikan,,,11/20/2011 16:35:13,3/11/2022 18:03:55,,209,183,0,36,,
1058828,barrucadu,"<p>I founded, and develop for, Arch Hurd, a port of Arch Linux to the GNU Hurd platform. Additionally, I was one of the first three developers of the Uzbl web browser, though now I merely provide web hosting for that. I know a variety of programming languages, my favourites being Python and C, and use Emacs and Git. Everyone who uses another text editor or version control system is, by definition, ugly and foolish >.></p>

<p>When not hacking at things, I like to read masses of books and drink green tea.</p>",,11/22/2011 0:24:00,4/22/2021 13:00:30,"York, United Kingdom",546,1,0,45,,http://www.barrucadu.co.uk
1059987,ciantrius,,,11/22/2011 14:34:19,8/26/2022 9:51:45,"Reading, United Kingdom",673,18,0,42,,
1071319,DanT,,,11/29/2011 12:58:11,8/12/2022 21:54:46,Berlin,3710,254,0,95,https://www.gravatar.com/avatar/c2a80703751deb5966bfb44500b50c6f?s=128&d=identicon&r=PG&f=1,
1075023,baptr,,,12/1/2011 8:50:00,4/5/2012 6:53:56,,113,1,0,20,,
1076809,makumar,,,12/2/2011 6:07:09,1/15/2015 0:29:50,,185,30,0,80,,
1079132,savithraj,<p>Web developer</p>,,12/3/2011 15:42:16,11/6/2021 14:32:27,,180,11,1,71,,
1080819,Aventuris,<p>Mainly working with Ruby on Rails at the moment. Looking to learn more about Ember or Angular in the near future.</p>,,12/5/2011 3:05:50,11/22/2021 5:01:09,"BC, Canada",630,25,5,47,https://www.gravatar.com/avatar/1c1b07d60fad96e69d3966d77b5b8b82?s=128&d=identicon&r=PG&f=1,http://simonbambey.com
1082492,shmuelie,"<p>Senior Software Engineer working on the Microsoft Store App at Microsoft. I do the impossible in C# and JavaScript, sometimes at the same time!</p>",,12/5/2011 22:58:49,9/21/2022 21:27:05,"New Jersey, United States",1195,215,13,146,,https://shmuelie.englard.net/
1088089,Bart Zweers,,,12/8/2011 15:55:59,12/2/2021 14:27:14,,117,1,0,27,,
1091466,Marco Acierno,<p>◕‿‿◕</p>,,12/10/2011 17:20:47,6/4/2022 15:45:15,Italy,14498,726,18,1621,https://i.stack.imgur.com/AWr4n.jpg,https://marco.pizza
1100093,Christian,"<p>I do work related programming. My experience is mostly with R/S-PLUS, VBA, Octave/Matlab, Python, XSLT, PHP and Java.</p>",,12/15/2011 14:46:04,1/6/2021 14:24:07,,283,3,0,19,,
1101207,Min,,,12/16/2011 4:05:48,9/25/2022 3:17:47,Kuala Lumpur Federal Territory of Kuala Lumpur Malaysia,89,104,0,18,,
1101382,user1101382,,,12/16/2011 6:34:28,6/27/2014 4:02:06,,157,5,0,12,,
1104672,fred,,,12/18/2011 16:14:04,12/20/2011 1:56:11,,299,56,0,17,,
1105571,itsuper7,,,12/19/2011 9:29:25,8/31/2015 8:49:25,,735,16,0,33,,
1113250,Ranajoy Roy,,,12/23/2011 10:36:33,11/2/2021 15:01:22,,35,1,0,38,,
1119678,Zaphoid,,,12/28/2011 16:37:58,6/19/2015 16:17:42,,279,1,0,23,,
1120410,Lay González,"<p>Computer scientist in progress.
Masters in finance in progress.</p>

<p>Working at Banco de México</p>",,12/29/2011 3:50:22,5/24/2021 19:50:59,,2851,214,5,340,,
1121055,user1121055,,,12/29/2011 11:32:49,4/24/2021 9:19:43,,381,15,0,19,,
1124607,Ned,,,12/31/2011 18:55:32,5/21/2022 19:15:57,"Palo Alto, CA",285,265,0,58,https://i.stack.imgur.com/5bQBk.jpg?s=128&g=1,
1125963,Anton,,,1/2/2012 9:10:00,5/10/2022 18:51:19,"Brno, Czech Republic",936,39,1,49,https://www.gravatar.com/avatar/99544996c8824cac229e0bca9448021c?s=128&d=identicon&r=PG&f=1,
1127633,sammyd,,,1/3/2012 10:37:08,6/8/2015 16:26:15,"Bristol, United Kingdom",883,8,0,230,,
1132013,DanielFetchinson,,,1/5/2012 11:30:32,9/24/2022 17:28:38,,191,4,0,34,,
1133712,Manish,<p>I m an android developer.</p>,,1/6/2012 5:50:43,3/12/2015 6:28:53,Nagpur,64,20,0,26,,
1141338,Juan Martinez,,,1/10/2012 16:41:58,9/19/2022 20:47:50,,2441,368,13,254,https://www.gravatar.com/avatar/ade5fe44762be9f4e78619050eec70c5?s=128&d=identicon&r=PG&f=1,
1144214,Josh Minzner,,,1/11/2012 21:48:18,12/23/2019 20:57:23,,560,10,0,48,,
1145337,kalabro,"<p>Happy Dev at SystemSeed <br>
<a href=""http://dgo.to/@kalabro"" rel=""nofollow noreferrer"">http://dgo.to/@kalabro</a></p>",,1/12/2012 10:57:55,9/23/2022 12:51:02,"Saint Petersburg, Russia",506,34,0,91,,http://drupal-kalabro.tumblr.com/about
1148237,purepureluck,,,1/13/2012 17:50:32,3/12/2012 21:41:14,,1241,1,0,98,,
1153282,ritwik,,,1/17/2012 6:09:12,10/27/2017 14:31:26,,71,0,0,13,,
1154063,Pavel Malyavkin,"<p><a href=""http://www.pavelmaliavkin.com/"" rel=""nofollow"">http://www.pavelmaliavkin.com/</a></p>",,1/17/2012 13:58:12,8/28/2018 9:51:22,,76,16,0,18,,http://www.pavelmaliavkin.com/
1156138,Byju,<p>C# developer</p>,,1/18/2012 11:54:55,9/22/2022 15:19:45,Bangalore,189,78,7,18,https://i.stack.imgur.com/6JRIX.jpg,
1163897,Krizsán Balazs,,,1/22/2012 20:36:30,9/24/2022 19:21:21,Hungary,366,94,3,57,,
1167223,antfx,"<p>Originally from the north east of England and currently based in Valencia, Spain I have spent the last 16 years developing high-end, scalable computer systems across numerous sectors including investment banking, oil &amp; gas, internet security, business analytics and online media.</p>",,1/24/2012 14:37:03,9/21/2022 10:06:37,"Valencia, Spain",3157,445,12,139,https://i.stack.imgur.com/2U1ud.jpg?s=128&g=1,http://antfx.com
1170900,dievardump,"<p>Berlin based freelance front and back-end Developer, open to freelance missions.</p>
<p>Web developer since 11years, i have been working the last 8 as a freelance (mostly front-end) developer for web or digital agencies and start-ups.</p>
<p>While working with those companies, I have been working on projects with different front &amp; back technologies, having the chance to implement nice responsive designs usually complemented by smooth animations.</p>
<p>During my free time, I am also very curious and have been experimenting in different domains, including developing on Arduino, developing on some Blockchains (mainly Ethereum), cryptography and game development using Godot.</p>
<p>A non exhaustive list of all the technologies I came across during those years :</p>
<p>Front-end:
HTML5, CSS, JavaScript/es6/es7, Sveltejs/React.js/Vue, Redux/Vuex, PostCSS, CSSNext, Responsive design, Blade/Twig</p>
<p>JS lib/API:
PIXI, Barba.js, TweenMax/gsap, d3.js, GoogleMap, YouTube/SoundCloud API, Facebook Graph</p>
<p>Back-end:
PHP7: Laravel, Wordpress, Symfony
Node.js: adonis.js/express</p>
<p>Database/Storage:
MySQL/MariaDB, PostgreSQL, SolR, Elasticsearch, Memcached</p>
<p>Build:
Babel, PostCSS, Sass, Rollup/Gulp/Grunt/Webpack, CI tools like Gitlab-CI</p>
<p>Dev-Tools:
Git (Github / Gitlag / Bitbucket), SVN, npm, yarn, composer</p>
<p>Continous Integration:
Gitlab-CI</p>
<p>Server:
Nginx, apache, Caddy, docker/docker-compose</p>
<p>Methods:
Agile/SCRUM</p>
<p>Interests:
Next to the websites I make profesisonaly, I have interest in Game Development (mostly using Godot), and also into Cryptocurrencies (Mostly Ethereum and the creation of Smart Contracts using solidity).</p>
<p>Online accounts to see more of what I can do:</p>
<p>github - <a href=""http://github.com/dievardump/"" rel=""nofollow noreferrer"">http://github.com/dievardump/</a></p>
<p>codepen - <a href=""http://codepen.io/dievardump/"" rel=""nofollow noreferrer"">http://codepen.io/dievardump/</a></p>
<p>Careers StackExchange - <a href=""http://careers.stackoverflow.com/cv/employer/150188"">http://careers.stackoverflow.com/cv/employer/150188</a></p>
<p>stackoverflow - <a href=""http://stackoverflow.com/users/1170900/dievardump"">http://stackoverflow.com/users/1170900/dievardump</a></p>
<p>twitter - <a href=""https://twitter.com/dievardump/"" rel=""nofollow noreferrer"">https://twitter.com/dievardump/</a></p>
<p>A few projects I work(ed) on that are public and still online:</p>
<ul>
<li><a href=""http://www.dievardump.com"" rel=""nofollow noreferrer"">http://www.dievardump.com</a></li>
<li><a href=""http://espace4.fr"" rel=""nofollow noreferrer"">http://espace4.fr</a></li>
<li><a href=""http://dropped-in.dievardump.com/"" rel=""nofollow noreferrer"">http://dropped-in.dievardump.com/</a></li>
<li><a href=""https://www.ubisoft.com/fr-fr/game/just-dance-2019"" rel=""nofollow noreferrer"">https://www.ubisoft.com/fr-fr/game/just-dance-2019</a></li>
</ul>",,1/26/2012 8:58:03,9/23/2022 11:21:32,Berlin,2434,107,21,575,,http://www.dievardump.com
1172002,Lars Kotthoff,"<p>I'm an artificial intelligence researcher, but on SO I mostly answer questions on D3. I'm also available for consulting if you need help beyond what you'll get here. Just drop me an email at lars@larsko.org.</p>

<p>You can also book a session with me on <a href=""http://www.airpair.com/javascript/expert-lars-kotthoff"" rel=""nofollow noreferrer"">airpair</a> or on <a href=""https://www.codementor.io/larsko"" rel=""nofollow noreferrer"">codementor</a>.</p>",,1/26/2012 18:58:00,9/24/2022 20:46:48,,105130,1121,113,15255,https://i.stack.imgur.com/jtcer.jpg,
1178823,Anonymous,,,1/30/2012 19:21:57,9/20/2022 16:04:25,PL,2062,62,8,195,https://i.stack.imgur.com/yddHz.png?s=128&g=1,http://3dweb.pl
1180469,Bilal Nasir,"<p>I am currently working as jBilling Consultant at DigitalCompass. Digital Compass is a privately held VoIP service provider and software development company. Established in 2002, Digital Compass was founded on the highest standards in the I.T. Industry. </p>",,1/31/2012 13:55:42,6/13/2021 8:21:19,"Islamabad, Pakistan",65,2,0,22,,http://dcdial.com/
1183447,David Kulpanowski,,,2/1/2012 18:34:11,3/27/2012 13:19:06,,421,0,0,35,,
1183614,ibolton336,<p>Software Engineer</p>,,2/1/2012 20:06:37,8/30/2019 16:12:39,"Raleigh, NC, USA",149,25,0,33,,
1189116,HansStam,<p>Android/ web developer working in China</p>,,2/4/2012 8:42:22,9/30/2013 6:24:33,China,399,51,0,120,https://graph.facebook.com/500162346/picture?type=large,
1189924,xm1994,,,2/4/2012 21:48:12,11/18/2021 12:16:48,,473,53,2,28,,
1195522,Ryan R.,,,2/7/2012 19:19:54,7/5/2022 5:03:58,"Honolulu, HI, United States",2318,582,2,117,https://i.stack.imgur.com/Ag8x3.png,
1196441,srek,,,2/8/2012 6:13:23,7/28/2022 5:57:36,,313,5,0,24,,
