id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
5046395,,"<p>The Web (short form of ""World Wide Web"") is a collection of usually linked documents that are each accessible on a network. The information on the web is accessible through a web browser, implementing the Hypertext Transport Protocol (HTTP).</p>",,,0,,2/18/2011 20:47:54,,6/23/2011 21:43:02,6/23/2011 21:43:02,user213154,,user213154,,,5,0,,
5062415,,<p>Celerity is a JRuby wrapper around HtmlUnit – a headless Java browser with JavaScript support. It provides a simple API for programmatic navigation through web applications. Celerity aims at being API compatible with Watir.</p>,,,0,,2/21/2011 4:49:11,,2/21/2011 4:54:06,2/21/2011 4:54:06,user479911,,user479911,,,5,0,,
5130474,,"<p>Ramaze is a web application framework created by Michael Fellinger (also known as manveru) for Ruby. The philosophy of it could be expressed in a mix of <a href=""http://en.wikipedia.org/wiki/KISS_principle"" rel=""nofollow"">KISS</a> and <a href=""http://en.wikipedia.org/wiki/Principle_of_least_surprise"" rel=""nofollow"">POLS</a>, trying to make simple things simple and complex things possible. This of course is nothing new to anyone who knows some Ruby, but is often forgotten in a chase for new functionality and features. Ramaze only tries to give you the ultimate tools, but you have to use them yourself to achieve perfect custom-tailored results. </p>

<p>Another one of the goals during development of Ramaze was to make every part as modular and therefore reusable as possible, not only to provide a basic understanding after the first glance, but also to make it as simple as possible to reuse parts of the code. </p>

<p>The original purpose of Ramaze was to act as a kind of framework to build web-frameworks, this was made obsolete by the introduction of rack, which provides this feature at a better level without trying to enforce any structural layout of the resulting framework.</p>

<h2>Basic Example</h2>

<pre><code>require 'ramaze'

class MainController &lt; Ramaze::Controller
  def index
    ""Hello, Ramaze!""
  end
end

Ramaze.start
</code></pre>

<h2>Installation</h2>

<p>Installing Ramaze is super easy when using Rubygems:</p>

<pre><code>$ gem install ramaze
</code></pre>

<p>Once the gem is installed you can create a new application using the ""ramaze"" binary:</p>

<pre><code>$ ramaze create myapp
</code></pre>

<h2>Links</h2>

<ul>
<li><a href=""https://github.com/Ramaze/ramaze/"" rel=""nofollow"">GitHub Repository</a></li>
<li><a href=""http://groups.google.com/group/ramaze"" rel=""nofollow"">Google Groups</a></li>
<li><a href=""http://ramaze.net/"" rel=""nofollow"">Website</a></li>
<li><a href=""http://ramaze.net/documentation/index.html"" rel=""nofollow"">User Guide</a></li>
<li><strong>#ramaze</strong> on Freenode</li>
</ul>",,,0,,2/26/2011 23:38:37,,6/4/2011 16:05:46,6/4/2011 16:05:46,user290102,,user290102,,,5,0,,
5166749,,"<p>OpenWrap is a dependency manager for the .net platform.  It can be found at <a href=""http://openwrap.org"" rel=""nofollow"">http://openwrap.org</a>.</p>",,,0,,3/2/2011 11:20:57,,9/7/2011 19:07:54,9/7/2011 19:07:54,user1228,,user1228,,,5,0,,
5362329,,"<p>SmartGWT is based on the powerful and mature SmartClient library. SmartGWT provides a wide-array of rich components that are based on GWT. In addition to SmartGWT LGPL, Pro &amp; Enterprise editions of Smart GWT are available with additional features &amp; tools, as well as commercial support. </p>

<p>SmartGWT is compatible with GWT 1.5.3, GWT 1.6.4, GWT 1.7.x and GWT 2.x </p>

<p>More info at : <a href=""http://www.smartclient.com/smartgwt/"" rel=""nofollow"">www.smartclient.com/smartgwt/</a></p>",,,0,,3/19/2011 13:21:58,,12/19/2012 20:48:13,12/19/2012 20:48:13,user195488,,user614868,,,5,0,,
5399041,,"<p>Questions in this category contains all aspects of development relating to poker - ie. hand evaluation, game engine, statistics, etc.</p>",,,0,,3/22/2011 23:16:39,,7/26/2011 21:59:32,7/26/2011 21:59:32,user806549,,user806549,,,5,0,,
5410995,,"<p><a href=""http://msdn.microsoft.com/en-us/library/system.windows.automation.automationelement.aspx"" rel=""nofollow"">AutomationElement</a> represents a UI Automation element in the UI Automation tree, and contains values used as identifiers by UI Automation client applications.  It is found within the <a href=""http://msdn.microsoft.com/en-us/library/ms590934.aspx"" rel=""nofollow"">System.Windows.Automation</a> namespace.</p>",,,0,,3/23/2011 20:07:53,,3/23/2011 20:07:53,3/23/2011 20:07:53,user1228,,user1228,,,5,0,,
5642566,,"<p>Hpricot is a Ruby library intended for parsing HTML. Until the release of Nokogiri, a competing HTML and css parser, Hpricot was the defacto HTML parser for the ruby community.</p>",,,0,,4/12/2011 22:54:54,,4/12/2011 23:14:38,4/12/2011 23:14:38,user131441,,user131441,,,5,0,,
6369460,,"<p>Because a permalink remains unchanged indefinitely, it is less susceptible to link rot. Most modern weblogging and content-syndication software systems support such links. Other types of websites use the term permanent links, but the term permalink is most common within the blogosphere. Permalink is a portmanteau word made from permanent link. Permalinks are often simply stated so as to be human-readable.</p>",,,0,,6/16/2011 9:08:17,,6/16/2011 9:15:42,6/16/2011 9:15:42,user757425,,user757425,,,5,0,,
6526901,,<p>Questions in this tag are only for questions related to the PCI Local Bus standard which is a computer bus for attaching hardware devices in a computer.</p>,,,0,,6/29/2011 20:33:47,,6/29/2011 20:39:04,6/29/2011 20:39:04,user195488,,user195488,,,5,0,,
6699000,,"<p>Preon aims to provide a framework for dealing with binary encoded data; or more specifically, it aims to deal with situations in which bytes are considered to be overkill. The project is named after the ""point-like"" particles, conceived to be subcomponents of quarks and leptons. Let's just say very small particles that you don't see with the naked eye, but you probably rely on them without knowing.</p>",,,0,,7/14/2011 19:40:11,,7/15/2011 0:34:39,7/15/2011 0:34:39,user177800,,user177800,,,5,0,,
7020708,,"<p>AVM2 executes programs written in <a href=""/questions/tagged/actionscript-3"" class=""post-tag"" title=""show questions tagged 'actionscript-3'"" rel=""tag"">actionscript-3</a>.</p>",,,0,,8/11/2011 4:05:09,,2/22/2013 6:22:21,2/22/2013 6:22:21,user1901867,,user1901867,,,5,0,,
7206083,,"<p>The <a href=""http://msdn.microsoft.com/en-us/library/system.security.principal.iprincipal.aspx"" rel=""nofollow"">System.Security.Principal.IPrincipal</a> interface defines the basic functionality of a security object.  This object represents the security context of the user on whose behalf the code is running, including that user's identity (<a href=""http://msdn.microsoft.com/en-us/library/system.security.principal.iidentity.aspx"" rel=""nofollow"">IIdentity</a>) and any roles to which they belong.</p>",,,0,,8/26/2011 14:20:22,,8/26/2011 14:20:22,8/26/2011 14:20:22,user1228,,user1228,,,5,0,,
7235695,,"<p>svnserve allows access to Subversion repositories using Subversion's custom network protocol.</p>

<p>You can run svnserve as a standalone server process, you can have a daemon such as inetd or xinetd launch it for you on demand, or you can have sshd launch it on demand for the svn+ssh:// access method.</p>

<p>For more information, click here: <a href=""http://svnbook.red-bean.com/en/1.5/svn.ref.svnserve.html"" rel=""nofollow"">http://svnbook.red-bean.com</a></p>",,,0,,8/29/2011 20:38:56,,8/29/2011 20:38:56,8/29/2011 20:38:56,user1228,,user1228,,,5,0,,
