id,name,date,user_id,class,tag_based
226296,Great Answer,2/3/2009 21:22:40,24243,1,FALSE
601701,Electorate,1/2/2010 7:42:47,1116,1,FALSE
685963,Electorate,2/25/2010 9:26:09,33708,1,FALSE
774319,javascript,4/18/2010 22:17:52,19068,1,TRUE
1106944,Populist,10/4/2010 14:07:30,227665,1,FALSE
1191829,Populist,11/8/2010 7:24:09,86463,1,FALSE
1500742,Fanatic,3/7/2011 5:01:03,86860,1,FALSE
1511192,Unsung Hero,3/10/2011 2:34:02,486620,1,FALSE
1871519,Fanatic,6/26/2011 5:48:04,473622,1,FALSE
1876295,Great Answer,6/27/2011 19:01:52,6967,1,FALSE
1913151,Great Answer,7/7/2011 2:54:29,7565,1,FALSE
1978330,Fanatic,7/25/2011 4:56:17,711785,1,FALSE
2805178,Fanatic,2/2/2012 14:31:59,731276,1,FALSE
2987686,Electorate,3/2/2012 7:29:53,998692,1,FALSE
3006194,Fanatic,3/6/2012 5:44:54,872975,1,FALSE
3259362,Great Question,4/20/2012 10:33:22,134484,1,FALSE
3400477,Great Question,5/15/2012 9:33:48,51570,1,FALSE
3525169,Stellar Question,6/6/2012 10:54:16,4883,1,FALSE
3539745,Great Answer,6/8/2012 12:05:30,166712,1,FALSE
3715706,Unsung Hero,6/21/2012 8:58:25,1290420,1,FALSE
3899251,Unsung Hero,7/21/2012 7:12:40,1428679,1,FALSE
4246877,Unsung Hero,9/14/2012 17:04:24,470877,1,FALSE
4649132,Populist,10/31/2012 12:02:22,515069,1,FALSE
4769725,Electorate,11/14/2012 15:53:07,343302,1,FALSE
4885262,Fanatic,11/28/2012 0:20:40,48733,1,FALSE
5032318,Great Question,12/14/2012 8:03:52,101152,1,FALSE
5092035,Great Answer,12/21/2012 18:01:38,645167,1,FALSE
5254710,Great Answer,1/15/2013 15:46:39,100902,1,FALSE
5288203,Legendary,1/18/2013 0:00:00,190597,1,FALSE
5290635,Unsung Hero,1/19/2013 12:33:18,495470,1,FALSE
5404968,Fanatic,2/1/2013 7:30:32,821436,1,FALSE
5996535,Great Answer,4/1/2013 7:25:35,2342,1,FALSE
6132395,Great Answer,4/15/2013 10:23:55,674039,1,FALSE
6156730,Great Answer,4/17/2013 13:01:38,5445,1,FALSE
6200516,Fanatic,4/22/2013 12:47:12,897637,1,FALSE
6658391,Unsung Hero,6/12/2013 9:27:28,1229192,1,FALSE
6705562,Populist,6/17/2013 21:18:19,696023,1,FALSE
6821854,Unsung Hero,7/1/2013 1:33:05,2426818,1,FALSE
7068155,Unsung Hero,7/27/2013 20:47:05,732771,1,FALSE
7260565,Fanatic,8/18/2013 8:31:00,1832221,1,FALSE
7726139,Fanatic,10/8/2013 0:07:41,1766655,1,FALSE
7784871,Unsung Hero,10/14/2013 8:02:16,2702447,1,FALSE
7909994,Great Question,10/26/2013 13:31:55,202875,1,FALSE
8050142,Great Answer,11/10/2013 9:34:21,126042,1,FALSE
8142967,Great Question,11/19/2013 13:35:23,88898,1,FALSE
8233660,Stellar Question,11/28/2013 2:02:58,16940,1,FALSE
8246411,Fanatic,11/29/2013 8:34:00,1696720,1,FALSE
8320463,Legendary,12/6/2013 0:00:00,104349,1,FALSE
8367498,Steward,12/11/2013 10:08:24,1423171,1,FALSE
8993273,Great Answer,2/13/2014 10:21:01,691884,1,FALSE
9015609,Fanatic,2/15/2014 7:54:50,136363,1,FALSE
9517268,Steward,3/26/2014 8:59:58,1400869,1,FALSE
9583036,Great Answer,4/1/2014 15:38:19,207421,1,FALSE
9632027,Fanatic,4/6/2014 8:37:46,1541374,1,FALSE
9663480,Great Answer,4/9/2014 7:32:55,77567,1,FALSE
9838746,Steward,4/27/2014 1:17:46,2432317,1,FALSE
9849543,Great Answer,4/28/2014 12:34:20,157882,1,FALSE
9903758,Stellar Question,5/3/2014 21:58:10,971583,1,FALSE
10010846,Great Question,5/14/2014 17:25:18,109774,1,FALSE
10409429,ormlite,6/27/2014 3:09:32,179850,1,TRUE
10590502,Socratic,7/2/2014 17:44:21,608639,1,FALSE
10590758,Socratic,7/2/2014 17:44:21,17211,1,FALSE
10590946,Socratic,7/2/2014 17:44:21,565968,1,FALSE
10802077,Great Question,7/23/2014 20:20:28,4086,1,FALSE
10962545,Great Answer,8/10/2014 17:02:35,210719,1,FALSE
10982666,Great Answer,8/12/2014 17:02:33,426288,1,FALSE
10990663,Electorate,8/13/2014 11:48:17,426352,1,FALSE
11083014,Great Question,8/23/2014 14:55:31,284577,1,FALSE
11150472,Great Question,8/31/2014 14:30:29,164230,1,FALSE
11192451,Populist,9/4/2014 18:43:39,131872,1,FALSE
11301618,Great Answer,9/16/2014 20:43:47,240733,1,FALSE
11639996,Fanatic,9/29/2014 3:27:28,2642133,1,FALSE
11717469,Great Answer,10/3/2014 12:53:02,59303,1,FALSE
11745747,Great Answer,10/7/2014 6:46:51,85134,1,FALSE
11873707,Fanatic,10/20/2014 1:44:37,1513568,1,FALSE
11910753,Great Question,10/23/2014 7:34:20,1227801,1,FALSE
12176996,Great Answer,11/18/2014 19:50:02,1010931,1,FALSE
12369257,Fanatic,12/8/2014 4:21:08,1064917,1,FALSE
12392287,Fanatic,12/10/2014 0:55:25,4000015,1,FALSE
12399211,Steward,12/10/2014 14:51:27,3764814,1,FALSE
12843884,Socratic,1/27/2015 23:21:37,33863,1,FALSE
12934031,swift,2/5/2015 3:02:15,148357,1,TRUE
12946536,Steward,2/6/2015 1:02:09,4175750,1,FALSE
13363308,Stellar Question,3/16/2015 19:07:41,20860,1,FALSE
13383732,Great Answer,3/18/2015 10:26:55,218196,1,FALSE
13572707,Populist,4/3/2015 14:21:06,1220986,1,FALSE
13903947,Great Answer,4/22/2015 9:07:09,1254718,1,FALSE
13982566,Stellar Question,4/28/2015 11:07:43,788910,1,FALSE
